unit name,move,save,bravery,wounds,num boxes,keywords,num casts,meta,w1range,w1attacks,w1hit,w1wound,w1rend,w1damage,w2range,w2attacks,w2hit,w2wound,w2rend,w2damage,w3range,w3attacks,w3hit,w3wound,w3rend,w3damage,w4range,w4attacks,w4hit,w4wound,w4rend,w4damage
icebrow hunter,6,5,7,7,4,"destruction,ogor,ogor mawtribes,beastclaw raiders,hero,icebrow hunter",0,0,1,1,3,3,,1,9,1,4,3,1,2,,,,,,,,,,,,
icefall yhetees,9,6,6,4,3,"destruction,ogor mawtribes,beastclaw raiders,icefall yhetees",0,0,1,3,4,3,1,2,,,,,,,,,,,,,,,,,,
ironblaster,7,4,6,9,2,"destruction,ogor,rhinox,ogor mawtribes,gutbusters,ironblaster",0,0,24,1,4,2,2,4,1,3,3,3,,2,1,2,4,3,1,2,,,,,,
ironguts,6,4,7,4,4,"destruction,ogor,ogor mawtribes,gutbusters,ironguts",0,0,2,3,3,3,1,3,1,1,3,3,,1,,,,,,,,,,,,
leadbelchers,6,5,6,4,2,"destruction,ogor,ogor mawtribes,gutbusters,leadbelcherse",0,0,12,2,4,3,1,1,1,2,3,3,1,2,1,1,3,3,,1,,,,,,
maneaters,6,5,7,4,5,"destruction,ogor,ogor mawtribes,maneaters",0,0,12,1,3,3,1,2,1,4,3,3,1,2,1,1,3,3,,1,,,,,,
mournfang pack,9,4,6,6,6,"destruction,ogor,ogor mawtribes,beastclaw raiders,mournfang pack",0,1,2,2,4,3,1,3,1,4,4,3,1,1,,,,,,,,,,,,
ogors gluttons,6,5,6,4,6,"destruction,ogor,ogor mawtribes,gutbusters,ogor gluttons",0,0,1,3,3,3,,2,1,1,3,3,,1,,,,,,,,,,,,
slaughtermaster,6,5,8,7,8,"destruction,ogor,ogor mawtribes,gutbusters,hero,wizard,butcher,slaughtermaster",1,1,1,7,3,3,,1,1,1,3,3,,1,1,3,5,5,,1,,,,,,
stonehorn beastriders,12,4,8,12,4,"destruction,ogor,stonehorn,ogor mawtribes,beastclaw raiders,monster",0,1,1,3,3,4,,1,2,6,4,3,2,3,1,4,3,2,1,2,,,,,,
thundertusk beastriders,8,4,8,12,4,"destruction,ogor,thundertusk,ogor mawtribes,beastclaw raiders,monster",0,0,1,3,3,4,,1,2,4,3,2,1,2,,,,,,,,,,,,
tyrant,6,4,8,8,6,"destruction,ogor,ogor mawtribes,gutbusters,hero,tyrant",0,1,12,2,4,3,1,2,1,3,3,3,2,3,1,1,3,3,,1,,,,,,
auric hearthguard,4,5,7,2,3,"order,duardin,fyreslayers,auric hearthguard",0,1,18,2,4,3,1,1,1,1,3,3,,1,,,,,,,,,,,,
auric runefather on magmadroth,12,4,8,14,7,"order,duardin,magmadroth,fyreslayers,monster,hero,auric runefather",0,0,1,6,4,3,1,2,1,1,1,4,2,2,3,3,3,3,1,3,,,,,,
auric runefather,4,4,8,6,3,"order,duardin,fyreslayers,hero,auric runefather",0,0,8,1,5,5,,1,3,3,3,3,1,3,,,,,,,,,,,,
auric runemaster,4,4,8,6,2,"order,duardin,fyreslayers,hero,priest,auric runemaster",0,0,8,1,5,5,,1,2,1,4,3,1,2,1,2,3,4,,1,,,,,,
auric runemaster on magmadroth,12,4,8,14,7,"order,duardin,magmadroth,fyreslayers,monster,hero,auric runefather",0,0,1,6,4,3,1,2,1,1,1,4,2,2,1,2,3,4,,1,,,,,,
auric runesmiter on magmadroth,12,4,7,14,6,"order,duardin,magmadroth,fyreslayers,monster,hero,priest,auric runesmiter",0,0,1,6,4,3,1,2,1,1,4,2,2,2,1,1,3,3,,2,,,,,,
auric runesmiter,4,5,7,5,2,"order,duardin,fyreslayers,hero,priest,auric runesmiter",0,0,8,1,5,5,,1,1,1,4,3,,2,1,2,3,4,,1,,,,,,
auric runeson on magmadroth,12,4,7,14,7,"order,duardin,magmadroth,fyreslayers,hero,monster,auric runeson",0,0,12,1,4,3,1,2,1,6,4,3,1,2,1,1,4,2,2,2,,,,,,
auric runeson,4,4,7,5,3,"order,duardin,fyreslayers,hero,auric runeson",0,0,12,1,4,3,1,2,8,1,5,5,,1,1,3,3,4,,2,3,1,3,3,1,1
battlesmith,4,4,7,5,2,"order,duardin,fyreslayers,hero,totem,battlesmith",0,0,8,1,5,5,,1,1,3,3,3,1,2,,,,,,,,,,,,
doomseeker,4,4,8,5,2,"order,duardin,fyreslayers,hero,doomseeker",0,0,8,1,5,5,,1,1,3,3,4,,1,1,3,3,3,1,1,,,,,,
grimwrath berzerker,4,4,9,6,3,"order,duardin,fyreslayers,hero,grimwrath berzerker",0,0,8,1,5,5,,1,1,4,3,3,2,2,,,,,,,,,,,,
hearthguard berzerkers,4,5,8,2,3,"order,duardin,fyreslayers,hearthguard berzerkers0",0,1,8,1,5,5,,1,2,2,3,3,1,2,2,2,3,3,,1,,,,,,
vulkite berzerkers,4,5,7,2,5,"order,duardin,fyreslayers,vulkite berzerkers",0,1,8,1,5,5,,1,1,2,3,3,,1,1,2,3,4,1,1,,,,,,
black coach,14,4,10,12,11,"death,malignant,nighthaunt,black coach",0,0,1,3,4,3,1,2,1,9,4,4,1,1,1,8,4,4,,1,,,,,,
bladegheist revenants,8,4,10,1,4,"death,malignant,nighthaunt,summonable,bladegheist revenants",0,1,1,2,3,3,1,1,,,,,,,,,,,,,,,,,,
cairn wraith,6,4,10,4,4,"death,malignant,nighthaunt,hero,cairn wraith",0,0,2,3,4,3,1,2,,,,,,,,,,,,,,,,,,
chainghasts,6,4,10,2,4,"death,malignant,nighthaunt,summonable,chainghasts",0,0,15,2,4,3,2,1,2,6,4,3,1,1,,,,,,,,,,,,
chainrasp horde,6,5,6,1,4,"death,malignant,nighthaunt,summonable,chainrasp horde",0,1,1,2,4,4,,1,,,,,,,,,,,,,,,,,,
dreadblade harrow,12,4,10,5,6,"death,malignant,nighthaunt,hero,dreadblade harrow",0,1,1,3,3,3,1,1,1,2,4,5,,1,,,,,,,,,,,,
dreadscythe harridans,8,4,10,1,5,"death,malignant,nighthaunt,summonable,dreadscythe harridans",0,0,1,3,4,3,1,1,,,,,,,,,,,,,,,,,,
glaivewraith stalkers,6,4,10,1,4,"death,malignant,nighthaunt,summonable,glaivewraith stalkers",0,0,2,2,4,3,,1,,,,,,,,,,,,,,,,,,
grimghast reapers,8,4,10,1,5,"death,malignant,nighthaunt,summonable,grimghast reapers",0,1,2,2,4,3,1,1,2,1,3,3,1,2,,,,,,,,,,,,
guardian of souls,6,4,10,5,6,"death,malignant,nighthaunt,hero,wizard,guardian of souls",1,0,1,3,3,3,1,1,1,2,3,3,,2,,,,,,,,,,,,
hexwraiths,12,4,10,2,6,"death,malignant,nighthaunt,summonable,hexwraiths",0,0,1,2,4,3,1,1,1,2,4,5,,1,,,,,,,,,,,,
knight of shrouds,6,4,10,5,4,"death,malignant,nighthaunt,hero,knight of shrouds",0,0,1,4,3,3,1,2,,,,,,,,,,,,,,,,,,
knight of shrouds on ethereal steed,12,4,10,6,5,"death,malignant,nighthaunt,hero,knight of shrouds",0,1,1,4,3,3,1,2,1,2,4,5,,1,,,,,,,,,,,,
kurdoss valentian,6,4,10,7,7,"death,malignant,nighthaunt,hero,kurdoss valentian",0,0,1,5,3,3,2,2,1,6,4,4,,1,,,,,,,,,,,,
lady olynder,6,4,10,7,12,"death,malignant,nighthaunt,hero,wizard,mortarch,lady olynder",0,0,2,3,3,3,2,2,1,6,4,4,,1,,,,,,,,,,,,
lord executioner,6,4,10,5,5,"death,malignant,nighthaunt,hero,lord executioner",0,0,1,3,3,3,2,1,,,,,,,,,,,,,,,,,,
mourngul,12,4,10,10,5,"death,malignant,nighthaunt,monster,mourngul",0,0,2,8,3,3,1,2,,,,,,,,,,,,,,,,,,
myrmourn banshees,8,4,10,1,2,"death,malignant,nighthaunt,summonable,myrmourn banshees",0,1,1,1,4,3,2,2,,,,,,,,,,,,,,,,,,
reikenor the grimhailer,14,4,10,7,9,"death,malignant,nighthaunt,hero,wizard,reikenor the grimhailer",1,1,2,4,4,3,1,2,1,3,4,4,,1,,,,,,,,,,,,
spirit hosts,6,4,10,3,3,"death,malignant,nighthaunt,summonable,spirit hosts",0,0,1,6,5,4,,1,,,,,,,,,,,,,,,,,,
spirit torment,6,4,10,5,3,"death,malignant,nighthaunt,hero,spirit torment",0,1,2,3,4,3,2,2,,,,,,,,,,,,,,,,,,
tomb banshee,6,4,10,4,4,"death,malignant,nighthaunt,hero,tomb banshee",0,0,1,1,4,3,2,2,,,,,,,,,,,,,,,,,,
alarielle,16,3,10,16,12,"order,sylvaneth,monster,hero,wizard,alarielle the everqueen",3,1,30,1,3,2,2,4,1,4,3,4,,1,2,5,4,3,2,5,,,,,,
arch-revenant,12,4,8,5,6,"order,sylvaneth,free spirits,hero,arch-revenant",0,1,2,3,3,3,2,2,1,1,4,3,,2,,,,,,,,,,,,
branchwraith,7,5,8,5,4,"order,sylvaneth,forest folk,hero,wizard,branchwraith",1,1,2,3,4,4,1,1,,,,,,,,,,,,,,,,,,
branchwych,7,5,7,5,6,"order,sylvaneth,noble spirits,hero,wizard,branchwych",1,1,2,2,4,3,,2,1,1,4,4,1,1,,,,,,,,,,,,
dryads,7,5,6,1,4,"order,sylvaneth,forest folk,dryads",0,1,2,2,4,4,,1,,,,,,,,,,,,,,,,,,
drycha hamadreth,9,3,8,10,7,"order,sylvaneth,outcasts,monster,hero,wizard,drycha hamadreth",1,0,18,10,4,3,1,1,2,10,3,4,,1,2,6,4,3,2,2,,,,,,
kurnoth sword hunters,5,4,7,5,5,"order,sylvaneth,free spirits,kurnoth hunters",0,0,1,4,3,3,1,2,,,,,,,,,,,,,,,,,,
kurnoth bow hunters,5,4,7,5,4,"order,sylvaneth,free spirits,kurnoth hunters",0,0,30,2,4,3,1,2,1,3,4,4,,1,,,,,,,,,,,,
kurnoth scythe hunters,5,4,7,5,4,"order,sylvaneth,free spirits,kurnoth hunters",0,1,2,3,3,3,2,2,,,,,,,,,,,,,,,,,,
spirit of durthu,5,3,9,12,5,"order,sylvaneth,free spirits,monster,hero,spirit of durthu",0,1,15,6,4,3,1,2,3,3,3,3,2,6,1,1,3,2,2,1,,,,,,
spite-revenants,5,5,6,1,2,"order,sylvaneth,outcasts,spite-revenants",0,0,1,3,3,3,,1,,,,,,,,,,,,,,,,,,
tree-revenants,5,5,6,1,4,"order,sylvaneth,noble spirits,tree-revenants",0,0,1,2,4,3,1,1,1,2,4,3,1,2,,,,,,,,,,,,
treelord,6,3,6,12,3,"order,sylvaneth,noble spirits,monster,treelord",0,0,3,4,3,3,1,4,1,1,3,2,2,1,,,,,,,,,,,,
treelord ancient,5,3,9,12,8,"order,sylvaneth,noble spirits,monster,hero,wizard,treelord ancient",1,0,18,1,2,3,1,4,3,3,3,3,1,4,1,1,3,2,2,1,,,,,,
gobbapalooza,5,6,5,15,15,"destruction,grot,gloomspite gitz,moonclan,gobbapalooza,wizard",3,0,1,5,4,3,1,2,,,,,,,,,,,,,,,,,,
boingrot bounderz,7,4,5,2,5,"destruction,squig,gloomspite gitz,moonclan,boingrot bounderz",0,0,2,2,4,4,1,1,1,2,4,3,1,1,,,,,,,,,,,,
dankhold troggboss,6,4,7,12,6,"destruction,troggoth,gloomspite gitz,dankhold,hero,troggboss",0,0,2,4,3,3,2,4,,,,,,,,,,,,,,,,,,
